Id;Atributo de Calidad;Requerimiento No Funcional Detallado;Origen;Estado Actual;Observaciones
1;Integridad de Datos;Los números de placa de los buses deben forzarse y almacenarse en mayúsculas automáticamente para asegurar búsquedas y unicidad.;Documentado;Completado;
2;Borrado Seguro (Soft Delete);El software implementará la inactivación lógica en la base de datos (is_active) para no destruir historiales de viajes asociados al bus.;Documentado;Completado;
3;UX Visual;La interfaz de listado deberá mostrar el texto de la placa del vehículo sobre un icono distintivo de bus para facilitar escaneo rápido por el ojo.;Documentado;Completado;
4;Rendimiento DTO JSON;Las peticiones a la API del backend para obtener el listado de buses deben condensar datos relacionados (propietario, marca) vía JOINs para enviar un solo payload JSON eficiente al frontend.;Descubierto;Completado;
5;Seguridad (Regex Inyección);Las entradas para las Placas y Códigos AMB deben ser validadas en frontend (Vue) y fuertemente bloqueadas en backend mediante expresiones regulares robustas para impedir inyecciones SQL.;Descubierto;Completado;Implementado con check constraints en PG
6;Transaccionalidad (ACID);El alta o actualización compleja de un bus (combinando datos básicos, seguros y documentos anexos) debe ejecutarse siempre en un bloque atómico de base de datos (Stored Procedure / Begin-Commit) para evitar registros huérfanos.;Descubierto;Completado;Abstracción con fun_create_bus_v2
7;Seguridad Autorización (RBAC);Los endpoints de modificación (POST, PUT, DELETE lógico) del módulo de flota deben estar estrictamente validados por middlewares de JWT verificando roles administrativos.;Descubierto;Completado;
8;Mantenibilidad Algorítmica;Se deben separar drásticamente las reglas de validación y limpieza de datos del Bus de las operaciones de INSERCIÓN propiamente dichas, evitando funciones PL/PGSQL espagueti.;Descubierto;Completado;Extracción a fun_validate_bus_data.sql
9;Auditoría (Trail Tracking);Todo evento de modificación, borrado físico de DBAs o cambios en pólizas del bus se registrará obligatoriamente en tab_audit_log grabando ID, datos previos, nuevos y usuario.;Descubierto;Completado;Trigger activo fun_audit_full
10;Integridad Referencial Preventiva;Los Constraints de BD deben prevenir mediante ON DELETE RESTRICT que se borre un propietario si tiene buses asociados, o un estado de bus si hay buses que lo ostentan.;Descubierto;Completado;Restricciones configuradas
11;Rendimiento de Catálogos Front;Para evitar re-fetches costosos de red, los listados dependientes del Bus (Marcas, Empresas, Dueńos, Aseguradoras) deben cargarse una sola vez al entrar al módulo y residir en la memoria cacheada del store (Pinia).;Descubierto;Parcial;
12;Usabilidad (Validación Tiempo Real);El cliente debe informar inmediatamente con feedback si el usuario teclea una placa repetida en el formulario, sin esperar al submit final.;Descubierto;Pendiente;
13;Usabilidad (Traducción Errores);El backend o interceptor cliente debe atrapar las excepciones de Postgres (ej. violar capacidad >70) y convertirlas a notificaciones Toast amistosas en espańol.;Descubierto;Pendiente;Las excepciones directas de PGSQL a veces estallan crudas en UI
14;Integridad Temporal (Asignaciones);El registro en base de datos debe obligar lógicamente a que en la tabla tab_bus_assignments la fecha de desasignación (unassigned_at) sea cronológicamente posterior a su contraparte (assigned_at).;Descubierto;Completado;Constraint chk_assignments_dates
15;Integridad Temporal (Seguros);Toda inserción de Pólizas o Docs Técnicos validará estrictamente en el backend que su Start Date no sea mayor a su End Date correspondiente, rebotando inconsistencias humanas.;Descubierto;Completado;Constraints como chk_insurance_dates
16;Rendimiento DOM (Paginación UI);Las vistas de tabla densas o cuadrículas deben implementar técnicas de Virtual Scroller o paginado para mantener 60 FPS al cargar parques vehiculares grandes (>100 buses).;Descubierto;Pendiente;
17;Resiliencia Estructural (JSON Mapping);Si el módulo de recolección en base de datos falla al agrupar documentos anexos de un bus, el endpoint general devolverá la estructura primaria del bus sin fallar por completo (Crash Elegante).;Descubierto;Pendiente;
18;Calidad de Datos (Regex Contactos);El email y teléfono asociados indirectamente al bus (a través de su propietario) deben forzarse en backend y DB a pasar validaciones Regex para evitar polución de contactos absurdos.;Descubierto;Completado;Implementado (chk_owners_email y phone)
19;Seguridad Transmisión HTTPS;Toda la información personal del Propietario (Documentos Identidad, Contactos) y números de pólizas de aseguradoras anexas viajarán siempre encriptadas en entornos productivos.;Descubierto;Parcial;
20;Mantenibilidad Modular (Vue);Los archivos Vue de formularios de Buses extensos (>500 líneas) deben ser particionados por componentes lógicos hijos para evitar entropía de código.;Descubierto;Pendiente;El código Vue requerirá refactor si crece el form
21;Seguridad de Auditoría (Sesiones);El seguimiento de quién crea o actualiza buses (user_create/update) debe ser responsabilidad del contexto descifrado desde el token JWT en el backend Node, rechazando payloads falsificados.;Descubierto;Completado;
22;Protección Borrado Cascada;La entidad 'Bus' no debe provocar un efecto dominó incondicional que elimine Seguros, Documentos Técnicos o Historial GPS al ser manipulado drásticamente.;Descubierto;Completado;ON DELETE RESTRICT establecidos
23;Arquitectura Repository Pattern;Las llamadas de negocio complejas referentes al Bus en Node.js no deben escribirse dentro del Controller HTTP, sino usar la capa de abstracción para testabilidad.;Descubierto;Completado;
24;Observabilidad Cruzada;Generar trazas del sistema cuando el cambio en la unidad física del bus altere o desasigne al conductor principal, permitiendo trazar comportamientos de despachos.;Descubierto;Pendiente;
25;Almacenamiento Eficiente (Media);La interfaz de carga visual del Bus debe estar diseńada para entregar el Blob a almacenamiento estático (S3/GCP), prohibiendo Base64 binario dentro del esquema PostgreSQL.;Descubierto;Pendiente;La funcionalidad de fotos aún no se construye
26;Accesibilidad Contrastes WCAG;Los Hexadecimales asignados a los estados del Bus que se usarán en tipografías deben sobrepasar pruebas de ratio de contraste WCAG 2.1 para la visibilidad diurna y nocturna.;Descubierto;Pendiente;
27;UX Multiplataforma (Responsive);El grid de tarjetas semaforizado de la flota debe adoptar comportamiento fluido (Flex/Grid) garantizando lectura en Desktop y Tablet móvil.;Descubierto;Completado;
28;Integridad Identidades Aseguradoras;El sistema forzará que el ID del seguro sea único a nivel sistema (uq_insurance_number) y requerirá vinculación no nula contra la tabla real de insurers.;Descubierto;Completado;
29;Seguridad Operativa Mínima;Impedir desde restricciones físicas DB la creación de Buses si la asociación forzosa mínima (Empresa operadora y Dueńo) no es aportada en el payload inicial.;Descubierto;Completado;NOT NULL en id_company, id_owner
30;Integridad Numérica Sensible;El modelo garantiza que capacidades vinculadas al bus no permitan ingreso de números negativos o Nulls mediante rigurosas restricciones relacionales.;Descubierto;Completado;Checks de > 0 en DB
31;Trazabilidad Documental Extensa;Los tipos de documentos de Tránsito están normalizados para que en un futuro crezca la tipología a nivel modelo sin alterar código base.;Descubierto;Completado;Tabla tab_transit_documents independiente
32;Disponibilidad de Estados (Fallback);Si ocurre un fallo al obtener el estado visual (colores) desde tab_bus_statuses, la UI inyectará un color gris estándar por defecto para no quebrar el renderizado.;Descubierto;Pendiente;
